US_NEWS_2026_RANK,UNIVERSITY,ACCEPTANCE_RATE_PERCENT,AVERAGE_HIGH_SCHOOL_GPA,GPA_WEIGHTING,SAT_25TH,SAT_MEDIAN_REPORTED,SAT_75TH,SAT_TYPICAL_SCORE_PROXY,SAT_PROXY_METHOD,ACT_25TH,ACT_MEDIAN_REPORTED,ACT_75TH,ACT_TYPICAL_SCORE_PROXY,ACT_PROXY_METHOD,TUITION_SINGLE_RATE_USD,TUITION_IN_STATE_USD,TUITION_OUT_OF_STATE_USD,HOUSING_AND_FOOD_USD,BOOKS_AND_SUPPLIES_USD,TRANSPORTATION_USD,PERSONAL_OTHER_EXPENSES_USD,TOTAL_COST_SINGLE_RATE_USD,TOTAL_COST_IN_STATE_USD,TOTAL_COST_OUT_OF_STATE_USD,DIVERSITY_DENOMINATOR,AIAN_PERCENT,ASIAN_PERCENT,BLACK_PERCENT,HISPANIC_PERCENT,NHPI_PERCENT,WHITE_PERCENT,TWO_OR_MORE_PERCENT,UNKNOWN_PERCENT,NONRESIDENT_PERCENT,ADMISSION_FACTOR_RIGOR_SCORE,ADMISSION_FACTOR_CLASS_RANK_SCORE,ADMISSION_FACTOR_ACADEMIC_GPA_SCORE,ADMISSION_FACTOR_STANDARDIZED_TESTS_SCORE,ADMISSION_FACTOR_ESSAY_SCORE,ADMISSION_FACTOR_RECOMMENDATIONS_SCORE,ADMISSION_FACTOR_INTERVIEW_SCORE,ADMISSION_FACTOR_EXTRACURRICULARS_SCORE,ADMISSION_FACTOR_TALENT_ABILITY_SCORE,ADMISSION_FACTOR_CHARACTER_PERSONAL_SCORE,ADMISSION_FACTOR_FIRST_GENERATION_SCORE,ADMISSION_FACTOR_ALUMNI_RELATION_SCORE,ADMISSION_FACTOR_GEOGRAPHIC_RESIDENCE_SCORE,ADMISSION_FACTOR_STATE_RESIDENCY_SCORE,ADMISSION_FACTOR_RELIGIOUS_AFFILIATION_SCORE,ADMISSION_FACTOR_VOLUNTEER_WORK_SCORE,ADMISSION_FACTOR_WORK_EXPERIENCE_SCORE,ADMISSION_FACTOR_APPLICANT_INTEREST_SCORE,ACCEPTANCE_RATE_CDS_YEAR,GPA_CDS_YEAR,SAT_CDS_YEAR,ACT_CDS_YEAR,ADMISSION_FACTORS_CDS_YEAR,DIVERSITY_CDS_YEAR,COST_CDS_YEAR,PRIMARY_ADMISSIONS_SOURCE_URL,ADMISSION_FACTORS_SOURCE_URL,COST_SOURCE_URL,DIVERSITY_SOURCE_URL,SOURCE_TXT_FILE
80,Drexel University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,080_Drexel_University.txt
80,New Jersey Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,080_New_Jersey_Institute_of_Technology.txt
80,Stevens Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,080_Stevens_Institute_of_Technology.txt
84,Pepperdine University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,084_Pepperdine_University.txt
84,University of Illinois Chicago,75.8,3.45,NOT_SPECIFIED,1030,1170,1300,1170,CDS_MEDIAN_50TH,24,27,31,27,CDS_MEDIAN_50TH,NA,11652,28352,17100,1400,1526,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,3,2,1,2,2,1,1,1,1,1,1,1,1,1,2025-26,2025-26,2025-26,2025-26,2025-26,NA,2025-26,https://www.collegedata.fyi/,https://www.collegedata.fyi/,https://www.collegedata.fyi/,NA,084_University_of_Illinois_Chicago.txt
84,Worcester Polytechnic Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,084_Worcester_Polytechnic_Institute.txt
84,Yeshiva University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,084_Yeshiva_University.txt
88,American University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,088_American_University.txt
88,Baylor University,52.2,NA,NOT_SPECIFIED,1190,NA,1370,1280.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,088_Baylor_University.txt
88,Howard University,NA,3.68,NOT_SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37996,NA,NA,18982,1220,1154,2494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,2,2,1,2,2,3,2,2,1,1,1,0,0,0,2025-26,2025-26,NA,NA,2025-26,NA,2025-26,https://www.collegedata.fyi/,https://www.collegedata.fyi/,https://www.collegedata.fyi/,NA,088_Howard_University.txt
88,Marquette University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,088_Marquette_University.txt
88,Rochester Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,088_Rochester_Institute_of_Technology.txt
88,Southern Methodist University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,088_Southern_Methodist_University.txt
88,"University of California, Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,088_University_of_California_Santa_Cruz.txt
88,University of Delaware,69.2,NA,NOT_SPECIFIED,1220,NA,1370,1295.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,088_University_of_Delaware.txt
88,University of South Florida,40.7,NA,NOT_SPECIFIED,1160,NA,1340,1250.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,088_University_of_South_Florida.txt
97,Florida International University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,097_Florida_International_University.txt
97,Fordham University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,097_Fordham_University.txt
97,Rutgers University-Camden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,097_Rutgers_University_Camden.txt
97,Texas Christian University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,097_Texas_Christian_University.txt
97,University of Colorado Boulder,76,NA,NOT_SPECIFIED,1180,NA,1390,1285.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,097_University_of_Colorado_Boulder.txt
102,Auburn University,46,4.09,WEIGHTED,1260,NA,1320,1290.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,26,28,29,28,CDS_MEDIAN_50TH,NA,11016,33048,16626,1200,3154,3012,NA,36882,58914,27907,0.254,2.902,4.103,4.597,0.068,82.825,3.261,0.34,1.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,GRADGPT_LATEST_CDS_SNAPSHOT,GRADGPT_LATEST_CDS_SNAPSHOT,https://www.gradgpt.com/common-data-set,NA,https://www.gradgpt.com/common-data-set,https://www.gradgpt.com/common-data-set,102_Auburn_University.txt
102,Gonzaga University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102_Gonzaga_University.txt
102,Loyola Marymount University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102_Loyola_Marymount_University.txt
102,Saint Louis University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102_Saint_Louis_University.txt
102,Temple University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102_Temple_University.txt
102,University of Iowa,79.9,NA,NOT_SPECIFIED,1130,NA,1320,1225.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,102_University_of_Iowa.txt
102,University of Missouri,78.5,NA,NOT_SPECIFIED,1150,NA,1330,1240.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,102_University_of_Missouri.txt
102,"University of Tennessee, Knoxville",43.6,NA,NOT_SPECIFIED,1280,NA,1380,1330.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,102_University_of_Tennessee_Knoxville.txt
