US_NEWS_2026_RANK,UNIVERSITY,ACCEPTANCE_RATE_PERCENT,AVERAGE_HIGH_SCHOOL_GPA,GPA_WEIGHTING,SAT_25TH,SAT_MEDIAN_REPORTED,SAT_75TH,SAT_TYPICAL_SCORE_PROXY,SAT_PROXY_METHOD,ACT_25TH,ACT_MEDIAN_REPORTED,ACT_75TH,ACT_TYPICAL_SCORE_PROXY,ACT_PROXY_METHOD,TUITION_SINGLE_RATE_USD,TUITION_IN_STATE_USD,TUITION_OUT_OF_STATE_USD,HOUSING_AND_FOOD_USD,BOOKS_AND_SUPPLIES_USD,TRANSPORTATION_USD,PERSONAL_OTHER_EXPENSES_USD,TOTAL_COST_SINGLE_RATE_USD,TOTAL_COST_IN_STATE_USD,TOTAL_COST_OUT_OF_STATE_USD,DIVERSITY_DENOMINATOR,AIAN_PERCENT,ASIAN_PERCENT,BLACK_PERCENT,HISPANIC_PERCENT,NHPI_PERCENT,WHITE_PERCENT,TWO_OR_MORE_PERCENT,UNKNOWN_PERCENT,NONRESIDENT_PERCENT,ADMISSION_FACTOR_RIGOR_SCORE,ADMISSION_FACTOR_CLASS_RANK_SCORE,ADMISSION_FACTOR_ACADEMIC_GPA_SCORE,ADMISSION_FACTOR_STANDARDIZED_TESTS_SCORE,ADMISSION_FACTOR_ESSAY_SCORE,ADMISSION_FACTOR_RECOMMENDATIONS_SCORE,ADMISSION_FACTOR_INTERVIEW_SCORE,ADMISSION_FACTOR_EXTRACURRICULARS_SCORE,ADMISSION_FACTOR_TALENT_ABILITY_SCORE,ADMISSION_FACTOR_CHARACTER_PERSONAL_SCORE,ADMISSION_FACTOR_FIRST_GENERATION_SCORE,ADMISSION_FACTOR_ALUMNI_RELATION_SCORE,ADMISSION_FACTOR_GEOGRAPHIC_RESIDENCE_SCORE,ADMISSION_FACTOR_STATE_RESIDENCY_SCORE,ADMISSION_FACTOR_RELIGIOUS_AFFILIATION_SCORE,ADMISSION_FACTOR_VOLUNTEER_WORK_SCORE,ADMISSION_FACTOR_WORK_EXPERIENCE_SCORE,ADMISSION_FACTOR_APPLICANT_INTEREST_SCORE,ACCEPTANCE_RATE_CDS_YEAR,GPA_CDS_YEAR,SAT_CDS_YEAR,ACT_CDS_YEAR,ADMISSION_FACTORS_CDS_YEAR,DIVERSITY_CDS_YEAR,COST_CDS_YEAR,PRIMARY_ADMISSIONS_SOURCE_URL,ADMISSION_FACTORS_SOURCE_URL,COST_SOURCE_URL,DIVERSITY_SOURCE_URL,SOURCE_TXT_FILE
26,University of Virginia,15.6,NA,NOT_SPECIFIED,1410,NA,1510,1460.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,026_University_of_Virginia.txt
28,University of Southern California,11.2,NA,NOT_SPECIFIED,1470,NA,1540,1505.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,028_University_of_Southern_California.txt
29,"University of California, San Diego",28.6,NA,NOT_SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,029_University_of_California_San_Diego.txt
30,University of Florida,23.3,NA,NOT_SPECIFIED,1330,NA,1470,1400.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,030_University_of_Florida.txt
30,University of Texas at Austin,22.2,NA,NOT_SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,030_University_of_Texas_at_Austin.txt
32,Georgia Institute of Technology,13.3,NA,NOT_SPECIFIED,1370,NA,1530,1450.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,032_Georgia_Institute_of_Technology.txt
32,New York University,9.1,NA,NOT_SPECIFIED,1480,NA,1550,1515.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,032_New_York_University.txt
32,"University of California, Davis",44.4,NA,NOT_SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,032_University_of_California_Davis.txt
32,"University of California, Irvine",28.8,NA,NOT_SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,032_University_of_California_Irvine.txt
36,Boston College,16.2,NA,NOT_SPECIFIED,1460,NA,1520,1490.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,33,34,35,34,CDS_MEDIAN_50TH,72180,NA,NA,19290,1250,NA,2000,94720,NA,NA,9654,0.041,11.394,4.972,12.544,0.073,57.562,5.21,1.585,6.619,4,3,4,3,3,3,1,3,3,3,2,2,2,1,2,3,2,1,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,2024-25,GRADGPT_LATEST_CDS_SNAPSHOT,GRADGPT_LATEST_CDS_SNAPSHOT,https://www.gradgpt.com/common-data-set,https://collegestatistics.org/,https://www.gradgpt.com/common-data-set,https://www.gradgpt.com/common-data-set,036_Boston_College.txt
